id,timestamp,vibration
1,14:27:02,1033
2,14:57:05,380
3,15:27:05,662
4,15:57:04,306
5,16:27:01,718
6,16:57:05,522
7,17:27:05,178
8,17:57:04,678
9,18:27:02,1821
10,18:57:05,395
11,19:27:05,580
12,19:57:05,460
13,20:27:05,769
14,20:57:05,912
15,21:27:05,1437
16,21:57:02,520
17,22:27:05,125
18,22:57:30,392
